,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full-Stack Developer,Olisipo,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 dia,1,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2398978029/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=jRX1eGizhgkM65DZWLQOfw%3D%3D&trk=flagship3_search_srp_jobs,full-stack developer:olisipo descrição do emprego: full-stack developer id:  8950962  data   09-10-2020  empregador   olisipo  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias descrição da empresa a olisipo é uma das principais e mais sólidas referências nacionais como talent recruiter  talent builder e talent care na área das tecnologias de informação   a nossa missão é encontrar o melhor projeto para cada pessoa e  para cada empresa  o melhor talento na área das tecnologias de informação   #connectingitpeople  descrição do anúncio  apaixonados por desafios e ambiciosos na procura de soluções  a nossa it-tude é orientada pela excelência nos projetos e pela relação próxima com os nossos colaboradores  with our people  it works better!  desejamos um full-stack developer para integrar um projecto em lisboa   perfil 6 anos de experiência em java  experiência em arquitectura de sistemas  conhecimento em desenvolvimento back-end  hibernate  e front-end  javascript ou primefaces   experiência no desenvolvimento de webservices  conhecimento de polling services  pollers   experiência com bases de dados  capacidade de análise e criação de solução tendo em conta o sistema como um todo  autonomia no processo de desenvolvimento  oferece-se acompanhamento personalizado focado na gestão de carreira  formação e certificação contínua e personalizada  através do nosso learning center  solidez  confiança e crescimento  pacote salarial com benefícios competitivo  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Frontend Software Engineer,Salsify,"Lisboa, Lisboa, Portugal",Check link,14 candidatos,Anunciada há 2 semanas,1,0,0,1,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2355643981/?eBP=CwEAAAF3Sp3MFZ4csIwC83itwEo52ZzomZ1FXHlOKFOEldFOKIw2o_HdirxLRvCLduXOpEsWwMzQg_2TJwKkfGSZ2YPseESJsCOw_gfnhmjGnBHPAlNU9cspNvUkgS7hs3llYzuU9EZr--j5yKWb9Qsd9qthHAsaiUDnVB6N72vyP104GebO-YCmcgQ0uaIVse6iAIJqjiigZN7W4pvQYjossu-OYpI05u8g2Ta0QdB_7qEYmq-nqwyv7Oez46tx4OpAmEHBCy2lxGsi5zW0865LqC1c5jBMaPhZFTov63JGqLQSqjktPxZvcO9bIhtbng-F7OEG_Ufwz4VzR-kVIZSs8-__3yOkwkP2bZt6QUO8E2SEJcDCOr_R7fkahMYEldSh9ifGA7bH&recommendedFlavor=SCHOOL_RECRUIT&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=14c0z5lS5hf2ZrI5X%2FWR0A%3D%3D&trk=flagship3_search_srp_jobs,salsify empowers brand manufacturers to win on the digital shelf by delivering the commerce experiences consumers demand anywhere they choose to shop online  the world's biggest brands including mars  l'oreal  coca-cola  bosch  and gsk use salsify every day to stand out on the digital shelf  to date  salsify has raised a total of $198 1 million in funding  led by warburg pincus  venrock  matrix partners  greenspring associates  underscore vc  and north bridge   for more information  please visit: http:  www salsify com   we're looking for talented and passionate frontend and full-stack developers who want to be part of joining our foundations d2c team  the team has been leading the development of our new digital asset management experience and we want to take the next step in scaling the team and making it even more successful as we tackle new challenges around d2c   as a software engineer at salsify you will be entrusted to innovate and constantly improve our products to deliver a platform and experience our customers love to use  you will solve complex business and scalability problems and help define the direction of the product as well as work across the entire salsify technology ecosystem like building back-end services and apis in ruby and graphql  front-end and micro front-ends in ember and interacting directly with our engineering  product and support teams to deliver exceptional customer-value  our engineers are simultaneously scaling a demanding application while simplifying complex business processes for our users and learning from top engineers along the way   we deeply value our engineering culture  we strongly emphasize clarity  competence and autonomy  we care about building the right thing  the right way  and having fun while we do it  every member of our team has the freedom and responsibility to make salsify a great place to work   how you'll make an impact build and ship production-grade software  set technical direction and help define the technical approach for the work the team takes on  work closely with product and engineering management to help define the product roadmap  collaborate with go-to-market teams to launch new functionality  grow as a leader both on the team and within the broader engineering organization  mentor new team members as the team grows  participate in tech talks and guilds to exchange ideas and strategies that advance our ability to build quality software  be proud of what you work on  learn from and give back to your team and the broader salsify community - contribute to the success of an exciting and fast growing boston-based company with global customers    you'll enjoy this role if you have experience in javascript typescript  html  and css  we use ember but it’s ok if you haven’t! experience building and debugging single page web applications powered by  on graphql  working knowledge of modern web frameworks  we are built on a ruby and ember stack  comfort transforming ux mockups into semantic markup and performant interfaces  experience building consumer facing applications in a saas or product-based company  specializing in front-end development  nice to have  foundational knowledge of computer science and software design principles  familiarity with test driven development and continuous integration  experience with contemporary frameworks  build tools  and testing tools  an interest in exchanging ideas around building robust  secure  maintainable software  comfort providing and receiving feedback on implementation ideas  thoughtful opinions about efficient and secure deployment practices    salsify’s mission is to empower brand manufacturers to win on the digital shelf   helping brand manufacturers to win online is what we do  our culture is who we are  we are empowered  we are positive thinkers  we take action  we care deeply  these values have driven salsify’s growth and earned the company numerous top workplace awards   we are headquartered in boston and have hubs in lisbon  portugal   chicago and remote offices around the globe  if you are excited to work in a fast-paced environment with a team that values agility  curiosity and passion  we want to hear from you!  salsify loves a good success story and it would be our privilege to help write yours! we recognize that talent and potential come in all forms and that years of experience does not guarantee on the job effectiveness or leadership potential  our hiring process involves recognizing a person’s achievements  subject matter expertise  and passion  not just check marks next to a job description  if you have an interest in our roles please do not hesitate to apply - we would be happy to speak with you!  salsify is committed to being an equal opportunity employer  we believe that diverse perspectives yield strong and happy teams  our employees and customers win when we have a variety of opinions and experiences  if you have a disability  require a religious accommodation or if there is anything we can do to make you more comfortable during our recruitment process  please let us know at talent@salsify com   nível de experiência assistente setor marketing e publicidade software internet tipo de emprego temporário funções de trabalho engenharia tecnologia da informação
4,Full Stack Developer,WIFI4MEDIA,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 6 dias,1,1,0,0,0,0,0,1,0,0,https://www.linkedin.com/jobs/view/2390979925/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=PLZjW1yHug6yfqWT6jru9g%3D%3D&trk=flagship3_search_srp_jobs,somos uma empresa especializada em desenvolvimento de software onde garantimos soluções adequadas a cada projecto desenvolvido   procuramos para nossos escritórios de faro e ou lisboa experiência mínima de 2 anos em desenvolvimento aplicacional conhecimentos de linguagens de scripting  php  python  conhecimentos em base de dados  mysql e mongodb  conhecimentos em react native conhecimentos em html  css  javascript  bootstrap  experiência em sistemas vcs  preferência git  experiencia em web services e api’s boa capacidade de trabalho em equipa  oferecemos integração numa empresa em expansão internacional  nível salarial compatível com o desempenho  regalias sociais de acordo com a política da empresa  formação e desenvolvimento profissional  contacta! click apply  api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-27 18:12:26 nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Full Stack Developer,Tecmic,"Lisboa, Lisboa, Portugal",Check link,1 candidato,Anunciada há 6 dias,0,0,1,0,0,1,0,0,0,0,https://www.linkedin.com/jobs/view/2390988178/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=lSwHeE%2FuEbrhfGV%2FMkmMYA%3D%3D&trk=flagship3_search_srp_jobs,full stack developer  m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes   procuramos um colaborador para integrar a nossa equipa de desenvolvimento de software web   perfil requerido   competências técnicas microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net o candidato deve gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo oferece-se condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata resposta para  poderá encontrar o anúncios original publicado em: nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Full Stack – Web Developer,MagniFinance,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 2 dias,1,0,0,0,0,1,1,0,0,0,https://www.linkedin.com/jobs/view/2396334719/?eBP=JOB_SEARCH_ORGANIC&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=9xYEAft8krvLY4n2BW8uEw%3D%3D&trk=flagship3_search_srp_jobs,you will be part of our development team  building new functionalities in a saas platform that is used by more than four thousand companies around the world   develop our product together with a great team  strong scrum process and testing oriented  our team is composed by developers  team leader  quality team and designers that work together to deliver a world-class solution to our clients   #requirements 3  years of professional software development experience  proven experience in web development  proficient in  net nice to have experience with  net core  good understanding of protocols like: rest and soap  knowledge of service oriented architecture  soa   proficiency in object oriented relational map  orm  like entity framework  ef6  as well as repository and unit of work patterns  work experience with production systems based on microservices and familiarity with its principles and practices  experience with test automation  good communication skills  interest in understanding how the work delivery brings added value to the customer  creativity and ability to bring new ideas and approaches to the table  knowledge of agile devops  azure devops pipelines  integrating leading market products  like cypress and postman  newman   knowledge of html  css  javascript and angular   stack backend net 4 7  net core 3 1    ef6  signalr  rest and soap  soa  frontend angular   databases redis  sql server  cloud azure and aws  #offers integration in dynamic team  salary according to the demonstrated experience  #about magnifinance  magnifinance is a financial management platform for businesses that focuses on minimizing operations through: automation  bank transaction synchronization  one-click reconciliation and expense registration through document image recognition  our office is located in the center of lisbon  marquês de pombal   portugal  send application to  api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-28 17:51:25 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Full Stack Developer,Check link,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,1,0,0,1,0,0,0,0,https://www.linkedin.com/jobs/view/2389476770/?eBP=JOB_SEARCH_ORGANIC&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=3aJK32geYEoI6FVKWikLUg%3D%3D&trk=flagship3_search_srp_jobs,full stack developer  m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes   procuramos um colaborador para integrar a nossa equipa de desenvolvimento de software web   perfil requerido   competências técnicas microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net o candidato deve gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo oferece-se condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata resposta para  api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-28 17:57:21 nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,- Full Stack Developer,Polarising,"Lisboa, Lisboa, Portugal",Check link,4 candidatos,Anunciada há 3 meses,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2294137561/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=zxa4edUT6p%2F15jez7KJlAg%3D%3D&trk=flagship3_search_srp_jobs,apply for a job at polarising   contact polarising for tech that works  nível de experiência assistente setor tecnologia da informação e serviços software atendimento ao consumidor tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Full Stack Developer,UST,"Lisboa, Portugal",Check link,14 candidatos,Anunciada há 1 dia,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2374968443/?eBP=CwEAAAF3Sp3MFflE6S_hT01-om1wdL6eFDNqverLZWKAXWzzH0uY9q-8muKRTZzmruL2bM6hvDoeAN4kKvcAWO4qVqKJVW3DpGiyIVFZqXqWTKpQcBLhGU3Q0tAbtfofDcKrF8pyS4LvlhjU5ZT0E0SUy90kMGWsxIHsgJmkKempIWKj4vNVsamX0N4vhjn6X3ZyMlDf5LhLCl5SbFDwQdLFZU_8LPdKV8AH0W5XMfJJe2qb-RcGPw3gqwAEsAzDcFmEXFlax39-ZEq0FnY3ITSsdr2zArPQNMpzFVOQGkGEe6E55LQIbRrwkC8AMbZlBjKFrgoD9tw3MwyZBU88aiSfBvyKkfMjHjSh5Kt3EICr6OjIpoaYgU0q8PRDoFDwIJHTwF-n94XX&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=zb9jqpcVZUkEQkcUBihoJQ%3D%3D&trackingId=uHyD%2BRzonMIN5GCQeYdHHQ%3D%3D&trk=flagship3_search_srp_jobs,ust is a leading digital technology company that provides advanced computing and digital services to large private and public enterprises around the world  driven by a larger purpose of transforming lives and the philosophy of “few clients  more attention”  we bring in the entrepreneurial spirit that seeks the faster path to value in today’s digital economy  our innovative technology services and pioneering social programs make us unique   ust believes in building long-lasting  strategic business relationships through agile and client-centric global engagement models that combine local experts & resources with cost  scale  and quality advantages of global operations   ust is looking for a full stack developer to join our digital team in lisbon  portugal  where you will be working on a number of global and challenging projects onsite with one of our prestigious customers    to succeed in this role you must have: more than 5 years of experience in similar roles  bachelor degree in related área  stong  net developer knowledge and experience  microsoft azure build and design knowledge and experience  english fluent  mandatory    are you ready? nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
